parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[13,7]",1.12864395667712,1.0735785271638,1.16730969476834,13,7,12,10,+ 6 %,10
"fut.lambda[46,11]",1.12865897550688,1.07365803484384,1.16683592500373,46,11,9,10,+ 8 %,15
"fut.lambda[27,14]",1.12875528658977,1.07641748188937,1.16573669889263,27,14,2,30,+ 10 %,15
"fut.lambda[20,8]",1.12883641550938,1.07669482567025,1.16673941629186,20,8,14,20,+ 6 %,15
"fut.lambda[28,10]",1.12888830044145,1.07535418446635,1.16682511414136,28,10,3,10,+ 8 %,10
"fut.lambda[31,14]",1.12902745071244,1.07513596867387,1.1650369354364,31,14,4,10,+ 10 %,15
"fut.lambda[18,8]",1.1290345957395,1.07536072055754,1.16731086035117,18,8,13,30,+ 6 %,15
"fut.lambda[28,14]",1.12903857513129,1.07492585115443,1.16611168130556,28,14,3,10,+ 10 %,15
"fut.lambda[42,11]",1.12903858490383,1.07502863231046,1.16757954692888,42,11,7,30,+ 8 %,15
"fut.lambda[37,9]",1.12912238022187,1.07248883566125,1.1671436981074,37,9,6,10,+ 6 %,5
"fut.lambda[35,9]",1.12915503380088,1.07529994115975,1.16698213181446,35,9,5,20,+ 6 %,5
"fut.lambda[30,10]",1.12918878014772,1.07735642578742,1.16674045308462,30,10,3,30,+ 8 %,10
"fut.lambda[34,14]",1.12922600460347,1.0756269368743,1.16793486038264,34,14,5,10,+ 10 %,15
"fut.lambda[48,7]",1.12922652696619,1.07578458945042,1.16718784383826,48,7,9,30,+ 6 %,10
"fut.lambda[36,9]",1.12927605374059,1.07593371219991,1.16685878095082,36,9,5,30,+ 6 %,5
"fut.lambda[29,14]",1.12927865954726,1.07434609429929,1.16647647298154,29,14,3,20,+ 10 %,15
"fut.lambda[39,11]",1.12928398768651,1.07376529735815,1.16601930362496,39,11,6,30,+ 8 %,15
"fut.lambda[29,10]",1.12929314735641,1.07548548105533,1.16594228544627,29,10,3,20,+ 8 %,10
"fut.lambda[40,9]",1.12931327047845,1.07551002705432,1.16702913085431,40,9,7,10,+ 6 %,5
"fut.lambda[41,11]",1.12933109880425,1.07641755243898,1.16672227359843,41,11,7,20,+ 8 %,15
"fut.lambda[23,8]",1.12949149525136,1.07560627430229,1.16771129763647,23,8,15,20,+ 6 %,15
"fut.lambda[31,10]",1.12959450561893,1.07461384745172,1.16751314189376,31,10,4,10,+ 8 %,10
"fut.lambda[16,7]",1.12960585711952,1.07256505356103,1.16752912266019,16,7,13,10,+ 6 %,10
"fut.lambda[30,14]",1.12972852851246,1.07369543934972,1.16811506091505,30,14,3,30,+ 10 %,15
"fut.lambda[10,11]",1.12975381862643,1.07537482266461,1.16875681877415,10,11,11,10,+ 8 %,15
"fut.lambda[7,11]",1.12975800887675,1.07450168639613,1.16667620880844,7,11,10,10,+ 8 %,15
"fut.lambda[2,13]",1.12977272953442,1.07696987193722,1.16761907977657,2,13,0,20,+ 10 %,10
"fut.lambda[38,9]",1.13004909202729,1.07511119574059,1.1678613436014,38,9,6,20,+ 6 %,5
"fut.lambda[19,7]",1.13006189348717,1.0753377673795,1.16890989912137,19,7,14,10,+ 6 %,10
"fut.lambda[1,13]",1.13008728447289,1.0764562577651,1.16845571878809,1,13,0,10,+ 10 %,10
"fut.lambda[32,10]",1.13023683580744,1.07727396881573,1.16724777386533,32,10,4,20,+ 8 %,10
"fut.lambda[8,7]",1.13030408923686,1.07602697729282,1.16752916804437,8,7,10,20,+ 6 %,10
"fut.lambda[21,8]",1.13031536713869,1.07733648531376,1.16821332119073,21,8,14,30,+ 6 %,15
"fut.lambda[24,8]",1.1303199781525,1.07786297943433,1.16855639527904,24,8,15,30,+ 6 %,15
"fut.lambda[3,12]",1.13034962316013,1.07559195695534,1.1684009525282,3,12,0,30,+ 8 %,5
"fut.lambda[1,12]",1.130362839984,1.07606280412666,1.16769042231375,1,12,0,10,+ 8 %,5
"fut.lambda[3,13]",1.13037514273009,1.07746589105981,1.16851413928051,3,13,0,30,+ 10 %,10
"fut.lambda[11,7]",1.13039498263628,1.07806442843332,1.16868678706678,11,7,11,20,+ 6 %,10
"fut.lambda[2,12]",1.1304436282386,1.07673666224454,1.16763702433697,2,12,0,20,+ 8 %,5
"fut.lambda[44,11]",1.13047870425633,1.07532482796424,1.16730004516918,44,11,8,20,+ 8 %,15
