parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[12,18]",1.01640562989021,0.998145657477196,1.03454859952377,12,18,11,30,none,5
"fut.lambda[12,17]",1.01645910426419,0.997068326993985,1.03457147247353,12,17,11,30,none,15
"fut.lambda[4,4]",1.01668661292038,0.997656260174963,1.03477356738447,4,4,1,10,+ 4 %,10
"fut.lambda[19,3]",1.0168511631774,0.997013512114236,1.03558662621927,19,3,14,10,+ 2 %,5
"fut.lambda[22,1]",1.01694323284176,0.997442947912252,1.03607597653925,22,1,15,10,+ 2 %,10
"fut.lambda[12,16]",1.01701481127732,0.997071506263638,1.03275174354403,12,16,11,30,none,10
"fut.lambda[25,4]",1.0171506648656,0.998537840314416,1.0357595383863,25,4,2,10,+ 4 %,10
"fut.lambda[31,5]",1.01722693576367,0.998362350673412,1.03678161069777,31,5,4,10,+ 4 %,15
"fut.lambda[36,3]",1.01730327879402,0.999052037418286,1.03470729855176,36,3,5,30,+ 2 %,5
"fut.lambda[39,2]",1.01732044641033,0.999259616326374,1.03455070525849,39,2,6,30,+ 2 %,15
"fut.lambda[44,2]",1.01750887518357,0.999116920163094,1.03480036541093,44,2,8,20,+ 2 %,15
"fut.lambda[3,6]",1.01757631116135,0.997453698071773,1.03506282222388,3,6,0,30,+ 4 %,5
"fut.lambda[22,3]",1.01758097725113,0.997334536106463,1.03682234969152,22,3,15,10,+ 2 %,5
"fut.lambda[1,6]",1.01773535109578,0.999070679164823,1.03767346038149,1,6,0,10,+ 4 %,5
"fut.lambda[5,4]",1.0177944459923,0.997969177682087,1.03521710266379,5,4,1,20,+ 4 %,10
"fut.lambda[2,6]",1.01791283408056,0.99847846756793,1.03618407884298,2,6,0,20,+ 4 %,5
"fut.lambda[26,5]",1.01791371182067,0.998732565841972,1.0358451964188,26,5,2,20,+ 4 %,15
"fut.lambda[41,3]",1.01800428375936,0.998038361911161,1.03547983139775,41,3,7,20,+ 2 %,5
"fut.lambda[6,4]",1.0182396250083,0.999508541266732,1.03704707268975,6,4,1,30,+ 4 %,10
"fut.lambda[44,1]",1.01844382259014,0.999293834438271,1.03665851135678,44,1,8,20,+ 2 %,10
"fut.lambda[15,17]",1.0185122067312,0.999712014352058,1.03568370144473,15,17,12,30,none,15
"fut.lambda[15,18]",1.01854721415624,0.998735506435845,1.0349823607137,15,18,12,30,none,5
"fut.lambda[15,16]",1.0187597158999,0.997224909875381,1.03601861361454,15,16,12,30,none,10
"fut.lambda[34,5]",1.01879140541166,0.999695650244664,1.0366226439297,34,5,5,10,+ 4 %,15
"fut.lambda[39,1]",1.01890954386249,0.999337723483063,1.0365944138197,39,1,6,30,+ 2 %,10
"fut.lambda[27,5]",1.01925333688303,1.00046248692746,1.0362349744022,27,5,2,30,+ 4 %,15
"fut.lambda[47,2]",1.01927534398571,0.999859880752358,1.03639752465615,47,2,9,20,+ 2 %,15
"fut.lambda[28,4]",1.01938157245827,1.00046678597724,1.03736071875018,28,4,3,10,+ 4 %,10
"fut.lambda[4,6]",1.01953912859873,1.00192393755167,1.03723315071457,4,6,1,10,+ 4 %,5
"fut.lambda[44,3]",1.01956114708113,1.00069548837335,1.03596876370602,44,3,8,20,+ 2 %,5
"fut.lambda[39,3]",1.01979463453712,1.00143831022574,1.03802571376354,39,3,6,30,+ 2 %,5
"fut.lambda[18,16]",1.02014643065243,1.00109291616446,1.03754706257121,18,16,13,30,none,10
"fut.lambda[29,5]",1.0202747721595,1.00172074570724,1.03840910930778,29,5,3,20,+ 4 %,15
"fut.lambda[42,2]",1.02030025196043,1.00091807522074,1.036974557107,42,2,7,30,+ 2 %,15
"fut.lambda[18,18]",1.0203758203905,1.00110464959663,1.03766987831994,18,18,13,30,none,5
"fut.lambda[47,1]",1.02040266076942,1.00048584537867,1.0387641882731,47,1,9,20,+ 2 %,10
"fut.lambda[26,4]",1.02051665279264,1.00141212685196,1.03764797973624,26,4,2,20,+ 4 %,10
"fut.lambda[37,5]",1.02056587608611,1.00100847673924,1.03758639210374,37,5,6,10,+ 4 %,15
"fut.lambda[18,17]",1.02074870574149,1.00086133231526,1.03719090780267,18,17,13,30,none,15
"fut.lambda[5,6]",1.02081631543529,1.00152070109341,1.03793718309981,5,6,1,20,+ 4 %,5
"fut.lambda[31,4]",1.02082355681266,1.00058212875425,1.03916146092916,31,4,4,10,+ 4 %,10
"fut.lambda[42,1]",1.02100441982081,1.00282448232746,1.0386904966726,42,1,7,30,+ 2 %,10
"fut.lambda[25,6]",1.02117472412649,1.00222883531983,1.03896588953669,25,6,2,10,+ 4 %,5
"fut.lambda[8,2]",1.02136798508327,1.00054769952447,1.03858516849917,8,2,10,20,+ 2 %,15
"fut.lambda[40,5]",1.02142876716552,1.00251103824339,1.03994215018484,40,5,7,10,+ 4 %,15
"fut.lambda[6,6]",1.02153155951974,1.00166146626567,1.03932147743179,6,6,1,30,+ 4 %,5
"fut.lambda[47,3]",1.02163053787958,1.00166487799065,1.03881395030149,47,3,9,20,+ 2 %,5
"fut.lambda[34,4]",1.02209913753554,1.00338149760233,1.04072350285471,34,4,5,10,+ 4 %,10
"fut.lambda[21,17]",1.02216110512141,1.0021593400618,1.03847449772776,21,17,14,30,none,15
"fut.lambda[30,5]",1.02216631336992,1.00592158244748,1.04035865491651,30,5,3,30,+ 4 %,15
"fut.lambda[28,6]",1.02250626565025,1.00262289413178,1.0411288842796,28,6,3,10,+ 4 %,5
"fut.lambda[21,18]",1.02250685574936,1.00230204640185,1.03818263357415,21,18,14,30,none,5
"fut.lambda[27,4]",1.02251537006549,1.00441340494817,1.03962102889994,27,4,2,30,+ 4 %,10
"fut.lambda[21,16]",1.02268910480988,1.00297490430713,1.03905938766964,21,16,14,30,none,10
"fut.lambda[42,3]",1.02269324830116,1.00472929236889,1.03909084954765,42,3,7,30,+ 2 %,5
"fut.lambda[8,1]",1.02277613322256,1.00243656765708,1.04043820452228,8,1,10,20,+ 2 %,10
"fut.lambda[32,5]",1.02286125402827,1.00491338804972,1.04044570456889,32,5,4,20,+ 4 %,15
"fut.lambda[45,2]",1.02291673873227,1.00411510720667,1.03968657914776,45,2,8,30,+ 2 %,15
"fut.lambda[3,8]",1.02297799762268,1.00629352281212,1.04029026105143,3,8,0,30,+ 6 %,15
"fut.lambda[29,4]",1.0230899854287,1.00458941889823,1.04255627523884,29,4,3,20,+ 4 %,10
"fut.lambda[37,4]",1.02319320253434,1.00533344475494,1.04263404298697,37,4,6,10,+ 4 %,10
"fut.lambda[43,5]",1.02321112312361,1.00236792893913,1.04084975543831,43,5,8,10,+ 4 %,15
"fut.lambda[8,3]",1.02331405793228,1.00366790050752,1.04103276918885,8,3,10,20,+ 2 %,5
"fut.lambda[31,6]",1.02344671668677,1.00540010250492,1.04124209130823,31,6,4,10,+ 4 %,5
"fut.lambda[1,8]",1.02346247876799,1.00644700899584,1.0402709934259,1,8,0,10,+ 6 %,15
"fut.lambda[2,8]",1.02370097537859,1.00730105827352,1.04048199002077,2,8,0,20,+ 6 %,15
"fut.lambda[11,2]",1.02373379961955,1.00213091061692,1.04039875982058,11,2,11,20,+ 2 %,15
"fut.lambda[46,5]",1.02380775722026,1.00438163955479,1.04292721129845,46,5,9,10,+ 4 %,15
"fut.lambda[24,18]",1.02391249072638,1.00419557807529,1.04077213860821,24,18,15,30,none,5
"fut.lambda[24,17]",1.02392701283692,1.0037336053657,1.04045687232209,24,17,15,30,none,15
"fut.lambda[26,6]",1.02397017044803,1.0054373853774,1.04102906094809,26,6,2,20,+ 4 %,5
"fut.lambda[45,1]",1.02410264656187,1.00513436856329,1.04111362258756,45,1,8,30,+ 2 %,10
"fut.lambda[11,1]",1.0241260497046,1.00485349512769,1.04257459124572,11,1,11,20,+ 2 %,10
"fut.lambda[24,16]",1.02430079917796,1.00520321176334,1.04139620995985,24,16,15,30,none,10
"fut.lambda[14,2]",1.02447814109595,1.00571030182369,1.04285584082554,14,2,12,20,+ 2 %,15
"fut.lambda[4,8]",1.02456721975884,1.0093104808904,1.04297057876794,4,8,1,10,+ 6 %,15
"fut.lambda[40,4]",1.02469423785321,1.00507446212615,1.04271070173682,40,4,7,10,+ 4 %,10
"fut.lambda[27,6]",1.02484470417071,1.00744410821708,1.04318451289184,27,6,2,30,+ 4 %,5
"fut.lambda[11,3]",1.02492028142806,1.00692665337344,1.04179209562819,11,3,11,20,+ 2 %,5
"fut.lambda[34,6]",1.02493912818189,1.00748860154927,1.04301873638717,34,6,5,10,+ 4 %,5
"fut.lambda[45,3]",1.02494286385847,1.00515454820726,1.04168684989131,45,3,8,30,+ 2 %,5
"fut.lambda[48,2]",1.02498805362268,1.00641355531223,1.04304968822247,48,2,9,30,+ 2 %,15
"fut.lambda[35,5]",1.02525566336777,1.00680394256553,1.04397404253664,35,5,5,20,+ 4 %,15
"fut.lambda[30,4]",1.02528279770504,1.00673184297363,1.04260705192352,30,4,3,30,+ 4 %,10
"fut.lambda[7,5]",1.02541589393166,1.00735852390443,1.04229016829383,7,5,10,10,+ 4 %,15
"fut.lambda[43,4]",1.02571610461636,1.00742207596473,1.04468615632683,43,4,8,10,+ 4 %,10
"fut.lambda[33,5]",1.02589709988525,1.00699550068836,1.0426073055584,33,5,4,30,+ 4 %,15
"fut.lambda[10,5]",1.02614911180113,1.00549105687817,1.04531189462753,10,5,11,10,+ 4 %,15
