n.chicks.released.per.year,n.years.of.captive.releases,surv.improvement,time.lag.for.surv.imp,fut.pop.growth.rate,lcl,ucl
4,30,4%,5,0.963473259,0.925140782,0.995381559
8,20,4%,15,0.963655532,0.921995257,0.996266538
8,30,2%,15,0.963944187,0.928610186,0.99095946
10,10,6%,15,0.964125067,0.915501986,1.001274552
5,30,4%,15,0.96415966,0.926308329,0.994532897
14,20,2%,10,0.964505126,0.92590284,0.994842373
8,30,2%,10,0.964689422,0.930223281,0.991714962
12,30,none,10,0.964804042,0.931097803,0.989551394
12,30,none,5,0.964804042,0.931097499,0.989618719
12,30,none,15,0.964805437,0.931247865,0.989645993
1,30,6%,5,0.964828614,0.91744144,1.001644359
14,20,2%,5,0.964840908,0.926138592,0.994999135
4,10,6%,5,0.964892181,0.915599446,1.003174846
7,20,4%,5,0.964892181,0.922861025,0.998003874
7,10,6%,10,0.96490982,0.915660505,1.00205508
8,30,2%,5,0.965002275,0.930434655,0.992330974
15,20,2%,15,0.96509603,0.926709372,0.994973768
11,10,6%,15,0.965163272,0.91615502,1.002348097
8,20,4%,10,0.965706758,0.925632219,0.99814474
0,30,8%,15,0.965749164,0.915185464,1.005978211
1,10,8%,15,0.96575471,0.915408386,1.004980982
4,20,6%,15,0.965787294,0.921758593,1.000324278
15,20,2%,10,0.966052468,0.926957764,0.996078019
0,20,8%,15,0.966067266,0.915371435,1.005786697
3,20,6%,10,0.966182076,0.921254184,1.001940951
2,30,6%,10,0.966192315,0.923079584,1.001100204
0,10,8%,15,0.966194363,0.91536954,1.005059964
8,10,6%,10,0.966194363,0.916216852,1.003369013
9,20,4%,15,0.966208704,0.92618595,0.997793546
5,30,4%,10,0.966223051,0.92842323,0.996338885
12,10,6%,15,0.966284613,0.917041194,1.003011287
5,10,6%,5,0.966311326,0.916681707,1.004215989
15,20,2%,5,0.966336004,0.927511312,0.996632152
2,20,6%,5,0.966465137,0.920922293,1.003341333
9,30,2%,15,0.96667075,0.933254673,0.993631734
13,30,none,10,0.966950886,0.934344627,0.991585762
13,30,none,5,0.967061067,0.934358918,0.991465103
13,30,none,15,0.967087379,0.934267189,0.991412779
9,10,6%,10,0.967424382,0.92096898,1.004528588
8,20,4%,5,0.967469985,0.926223443,0.999719592
13,10,6%,15,0.96756975,0.921058422,1.00448811
9,30,2%,10,0.96756975,0.933997045,0.994272415
2,10,8%,15,0.967582065,0.91615502,1.006110826
6,10,6%,5,0.967621093,0.918202239,1.005222998
3,30,6%,15,0.967643881,0.92679621,1.000608166
5,30,4%,5,0.96765811,0.930337679,0.998096931
9,20,4%,10,0.96781074,0.927467823,1.000018547
9,30,2%,5,0.967998345,0.933959672,0.994920526
6,30,4%,15,0.968007878,0.932127194,0.997185292
10,20,4%,15,0.968306583,0.92842323,0.999497397
1,20,8%,15,0.968507382,0.92108169,1.00648336
14,10,6%,15,0.968542187,0.921191484,1.005244594
10,10,6%,10,0.968582629,0.921191484,1.005440276
5,20,6%,15,0.968870996,0.926284845,1.002697329
7,10,6%,5,0.968903882,0.92128762,1.006341056
14,30,none,5,0.968981213,0.937347149,0.993398714
14,30,none,15,0.969006866,0.937359032,0.993382623
14,30,none,10,0.969019246,0.937538196,0.993468935
3,10,8%,15,0.969031631,0.9206825,1.007213595
4,20,6%,10,0.969120529,0.926203307,1.00391265
