capt.index,surv.index,Year,ext.prob
3,4,2029,0
3,4,2030,1e-04
3,4,2031,1e-04
3,4,2032,1e-04
3,4,2033,2e-04
3,4,2034,2e-04
3,4,2035,1e-04
3,4,2036,3e-04
3,4,2037,2e-04
3,4,2038,4e-04
3,4,2039,7e-04
3,4,2040,0.0017
3,4,2041,0.0023
3,4,2042,0.0034
3,4,2043,0.0051
3,4,2044,0.0073
3,4,2045,0.0089
3,4,2046,0.013
3,4,2047,0.015
3,4,2048,0.0194
3,4,2049,0.0228
3,5,2020,0
3,5,2021,0
3,5,2022,0
3,5,2023,0
3,5,2024,0
3,5,2025,0
3,5,2026,0
3,5,2027,0
3,5,2028,0
3,5,2029,0
3,5,2030,1e-04
3,5,2031,1e-04
3,5,2032,3e-04
3,5,2033,2e-04
3,5,2034,4e-04
3,5,2035,5e-04
3,5,2036,5e-04
3,5,2037,6e-04
3,5,2038,0.0016
3,5,2039,0.0025
3,5,2040,0.0027
3,5,2041,0.0038
3,5,2042,0.0058
3,5,2043,0.0077
3,5,2044,0.0105
3,5,2045,0.0129
3,5,2046,0.0154
3,5,2047,0.0216
3,5,2048,0.0269
3,5,2049,0.0344
3,6,2020,0
3,6,2021,0
3,6,2022,0
3,6,2023,0
3,6,2024,0
3,6,2025,0
3,6,2026,0
3,6,2027,0
3,6,2028,0
3,6,2029,0
3,6,2030,0
3,6,2031,0
3,6,2032,0
3,6,2033,1e-04
3,6,2034,1e-04
3,6,2035,1e-04
3,6,2036,3e-04
3,6,2037,3e-04
3,6,2038,5e-04
3,6,2039,8e-04
3,6,2040,0.0012
3,6,2041,0.002
3,6,2042,0.0031
3,6,2043,0.0037
3,6,2044,0.0056
3,6,2045,0.0073
3,6,2046,0.0094
3,6,2047,0.0116
3,6,2048,0.0142
3,6,2049,0.0189
3,7,2020,0
3,7,2021,0
3,7,2022,0
3,7,2023,0
3,7,2024,0
3,7,2025,0
3,7,2026,0
3,7,2027,0
3,7,2028,0
3,7,2029,0
3,7,2030,0
3,7,2031,0
3,7,2032,0
3,7,2033,0
3,7,2034,0
3,7,2035,0
3,7,2036,1e-04
3,7,2037,2e-04
3,7,2038,1e-04
3,7,2039,1e-04
3,7,2040,2e-04
3,7,2041,4e-04
3,7,2042,6e-04
3,7,2043,0.001
3,7,2044,0.0014
3,7,2045,0.0018
3,7,2046,0.0017
3,7,2047,0.0031
3,7,2048,0.0035
3,7,2049,0.0049
3,8,2020,0
3,8,2021,0
3,8,2022,0
3,8,2023,0
3,8,2024,0
3,8,2025,0
3,8,2026,0
3,8,2027,0
3,8,2028,0
3,8,2029,0
3,8,2030,0
3,8,2031,0
3,8,2032,0
3,8,2033,1e-04
3,8,2034,1e-04
3,8,2035,1e-04
3,8,2036,2e-04
3,8,2037,3e-04
3,8,2038,3e-04
3,8,2039,4e-04
3,8,2040,6e-04
3,8,2041,8e-04
3,8,2042,0.0015
